,No,Response
702,702,"Merci j’avoue ne pas tout lire mais je survole ce qui est dit. Pour les grands parcours Renault a prévu un tarif préférentielle pour la location de véhicule thermique. Effectivement faire un grand trajet est encore difficile pour pas dire impossible MAIS dans les nombreux futurs projets de Renault (dont l'Espace 5,Laguna 4,Twingo 3...) il y a un projet de voiture électrique 2. Mais Renault a quelques retard avec Zoé (Clio+Zoé pour certains c'est un peu confus.)Pour plus d'info ICI et Là"
703,703,"Concernant le projet quick drop de better place, on a des infos sur une éventuelle implantation en France?"
704,704,
705,705,
706,706,"Non, mais juste sur les autoroutes quoi... au moins... :/"
707,707,"Il me semble que la Zoé n'est pas compatible avec Better place, la batterie n'est pas amovible."
708,708,"Vu qu'il y a, je pense (+1 avec maxjezz), aucune chance que ce système arrive en France, ce n'a pas d'importance."
709,709,
710,710,"Betterplace et le quick drop en général est une abération économique et ecologique.Un bel exemple de fausse bonne idée.On pourrait croire que ca devrer marcher, apres tout, c'est un système du même genre que celui des bouteilles de gaz. La bouteille est vide, on la ramène et on en prend une pleine a la place.Quand on fait l'échange, on paye en gros la valeur du contenu.Sauf que dans le cas des bouteilles de gaz, ce qui a de la valeur est le contenu, le contenant ne vaut pas grand chose. dans le cas des batteries, c'est l'inverse.Résultat, ca oblige a avoir une véritable fortune immobilisé en batterie pour pouvoir assurer les rotations/recharges et facturer peu cher car le contenu est peu cher et que quoi qu'il en soit le prix du carburant liquide sert de limite psychologique (et si on compte le prix de la location mensuelle, c'est l'explosion complète)"
711,711,
712,712,
713,713,
714,714,
715,715,
716,716,"L'investissement de départ est certes important, mais il faut voir le cout sur le long terme et par rapport a ce que nous coute ce qu'on a actuellement, et aux autres solutions envisageables.Dans interview le créateur de Batter Place, Shai Agassi déclarait qu'un reseau de station d’échange couterait pour la France 5 jours de consommation de carburant:""SA : Absolument. La plupart des gens ne savent pas que tout le réseau de Better Place pourrait être construit en France pour une somme qui représente moins de 5 jours de consommation de carburant par les voitures en France. Donc pour l’équivalent de 5 a 7 jours de de pétrole, on pourrait installer le réseau Better Place dans toute la France. La question est alors : pourquoi pas ?""Evidement j'ai conscience qu'il défend son business, mais j'ai quand même fait un petit calcul:En France on consomme 2 millions de barils/jour (chiffre 2007, 1,92 millions) dont environ la moitié pour le transport routier, a 80 € le baril (ca peut doubler) ça nous fait donc environs 80 millions d’euros x 5 = 400 millions €. Le coût d’une station d’échange est estimé à environ 350 000€, cela permettrait donc d’installer 1142,8 stations d’échange.On va dire que ca serait un bon début (il y a 12550 stations service en France)Mais avec un millier de stations d’échange de batteries et un quadrillage intelligent du territoire, personne en France ne devrait se trouver a plus 30 kilomètres d’une station.Bon tout ça n’est que théorique, et sans doute très approximatif, mais ça donne un ordre d’idée de ce qu’il faudrait réaliser comme infrastructure, si ce système d’échange de batterie est retenue.Je reprends point par point:A 10000€ la batterie, fait le calcul : Ce prix va fortement baisser dans les années a venir le prix des batteries des voitures électriques aura baissé de 70% en 2015. Entre 2015 et 2020, le prix des batteries des véhicules électriques pourrait à nouveau baisser de 60%. Mais a la limite ca ne concerne le sujet qu'indirectement.- le cout du bâtiment et du matériel 350000€ la station (c'est bien moins qu'une station d’hydrogène) 5 jours d'importation de pétrole pour mailler la France)- le nombre de batteries nécessaires C'est de l'investissement de départ, mais au bout du compte ca ne change pas le cout du kilomètre avec une batterie tu fera 200 000km, avec deux 400000 etc...- le prix de l’échange C'est presque exclusivement de l'amortissement, donc dépend du nombre de clients- le cout de fonctionnement (personnel, électricité, etc) a non avis négligeable, je ne pense pas que ce soit cela qui pose problème.- l'investissement nécessaire, 5 jours d'importation de pétrole! imaginons 1 an d'importation tout compris avec les batteries pour faire rouler un parc 100% électrique. ca vaudrait quand même le cout (amortie en un an).- le temps d'amortissement, 5 jours si on pouvait faire passer instantanément tout le parc a l'électrique, en fait cela dépend évidement du nombre de client.D'ailleurs ca marche parfaitement en Israël, le seul problème c'est qu'il n'y a pas (encore) assez de clients pour amortir les investissements.Tendances : Autonomie voiture électrique Aide achat voiture électrique Aides achat voiture hybride Renault ZOE Forum voiture électrique Renault Twizy Better Place : 1200 km non stop avec les stations d’échange de batterie !Je pense que c'est une bonne idée, mais que ca ne peut ce faire que par un soutient massif des états, et un financement publique, mais pour cela il faut avoir une vision a long terme.Le problème c'est qu'actuellement tout le monde (les Etats) bricole dans son coin un plan pour le VE, en fonction de ses propres intérêts , si on veut que ca marche il faut un grand plan au niveau européen, quelle que soit la solution choisie, mais pour ca il faut se mettre d'accord."
717,717,
718,718,
719,719,"Je suis parfaitement d’accord avec tes objections, [sauf sur la partie production d'électricité, j’ai montré calcul a l’appui que ca passe même sans lisser, jusqu’à au moins 10 millions de VE, on a de quoi recharger la nuit même les jours de pic de consommation) Au-delà et jusqu’à un parc 100% électrique ca passe avec quelques restrictions quelques jours par an. Et dans le meilleur des cas on n’aura pas 10 millions de VE en France avant 15 ans (comptez plutôt 20/25 ans), et 30 ans pour un parc 100% (comptez plutôt 50 ans)] Mais c’est un autre sujet !Sinon je n’ai pas grand-chose à rajouter à tes réflexions pleines de bon sens, et c’est bien pour ca que je conclus, que ça ne peut se faire qu’avec l’engagement massif des Etats, et si possible au niveau de l’UE.Je pense qu’il est effectivement inutile de se lancer en France (dans des pays plus petits ou enclavés c’est autre chose) dans un tel programme tant que le parc VE n’est pas plus important, et aussi tant que les VE n’ont pas plus d’autonomie, je pense qu’il faut un minimum de 200km réel sur autoroute, je me vois mal faire un Paris Marseille en devant changer 5 fois de batterie…C'est aussi l'immobilisation d'une fortune en batterie. Tout a fait mais cela fait partie de l’investissement de départ, et il sera amorti a plus ou moins longue échéance, après ca ne sera que du bénef, investissement (qui s’il doit se faire) se fera en réalité sur plusieurs décennies au fur et mesure de la progression du VE. Mais le mieux serait évidemment de trouver d’autres utilisations pour ces batteries. Il y en a une qui me parait évidente c’est le stockage de l’électricité ""renouvelable"" éolien solaire, ce qui permettrait entre autre de pouvoir régler le problème de recharge lors des pics de consommation. C’est pourquoi il faut penser la voiture globalement, ce qui est présenté isolément comme un problème, peut être la solution a un autre problème,( les problèmes s’annulent entre eux) Mais pour ça il faut avoir une vision globale.Aprèsje te l’accorde tout cela n’est que de la prospective, et pour l’instant l’électrique doit être utilisé pour ce qu'il sait faire : circuler dans son rayon d'action, et peut être même que la voiture électrique en restera là (ce qui représente déjà un énorme potentiel) et que d’autres solutions auront pris le pas sur elle. Mais si elle est appelée a se développer la solution Better Place, devra être regarder sérieusement."
720,720,"Reprise du message précédent :Je suis parfaitement d’accord avec tes objections, [sauf sur la partie production d'électricité, j’ai montré calcul a l’appui que ca passe même sans lisser, jusqu’à au moins 10 millions de VE, on a de quoi recharger la nuit même les jours de pic de consommation) Au-delà et jusqu’à un parc 100% électrique ca passe avec quelques restrictions quelques jours par an. Et dans le meilleur des cas on n’aura pas 10 millions de VE en France avant 15 ans (comptez plutôt 20/25 ans), et 30 ans pour un parc 100% (comptez plutôt 50 ans)] Mais c’est un autre sujet !Sinon je n’ai pas grand-chose à rajouter à tes réflexions pleines de bon sens, et c’est bien pour ca que je conclus, que ça ne peut se faire qu’avec l’engagement massif des Etats, et si possible au niveau de l’UE.Je pense qu’il est effectivement inutile de se lancer en France (dans des pays plus petits ou enclavés c’est autre chose) dans un tel programme tant que le parc VE n’est pas plus important, et aussi tant que les VE n’ont pas plus d’autonomie, je pense qu’il faut un minimum de 200km réel sur autoroute, je me vois mal faire un Paris Marseille en devant changer 5 fois de batterie…C'est aussi l'immobilisation d'une fortune en batterie. Tout a fait mais cela fait partie de l’investissement de départ, et il sera amorti a plus ou moins longue échéance, après ca ne sera que du bénef, investissement (qui s’il doit se faire) se fera en réalité sur plusieurs décennies au fur et mesure de la progression du VE. Mais le mieux serait évidemment de trouver d’autres utilisations pour ces batteries. Il y en a une qui me parait évidente c’est le stockage de l’électricité ""renouvelable"" éolien solaire, ce qui permettrait entre autre de pouvoir régler le problème de recharge lors des pics de consommation. C’est pourquoi il faut penser la voiture globalement, ce qui est présenté isolément comme un problème, peut être la solution a un autre problème,( les problèmes s’annulent entre eux) Mais pour ça il faut avoir une vision globale.Aprèsje te l’accorde tout cela n’est que de la prospective, et pour l’instant l’électrique doit être utilisé pour ce qu'il sait faire : circuler dans son rayon d'action,http://aws-cf.caradisiac.com/p [...] es/jap.gif et peut être même que la voiture électrique en restera là (ce qui représente déjà un énorme potentiel) et que d’autres solutions auront pris le pas sur elle. Mais si elle est appelée a se développer la solution Better Place, devra être regarder sérieusement."
721,721,"On va pas revenir sur les calculs du nucléaire   Oui les batteries peuvent servir a stocker les énergies alternatives. Il y a tout un tas d'usages, de solutions qui restent encore a trouver, a imaginer. Heureusement   Par contre, attention, pas d'accord sur la durée d’amortissement. Si les bâtiment peuvent s'amortir sur le long terme, c'est moins le cas des batteries qui ont une durée de vie limitée et qui devront être renouvelées tous les 5? 8 ? 10 ans ?.Pour les systèmes d'échanges de batteries, on peu très bien imaginer une ""ceinture"" de stations situés a 100km des grandes agglos sur les grands axes. Cela ferait un maillage peut être suffisant.Et bien sur, pour que ce système fonctionne, il faudrait un format de batterie standardisé... et ca, ca risque d’être la plus grande difficulté !"
722,722,
723,723,
724,724,"Je ne vois pas en quoi l'hybride serait pur marketing.L'hybride non plugin n'est certes qu'une optimisation poussée d'une voiture thermique, il n'y a que les journalistes auto pour ne pas comprendre cette donnée élémentaire (en parlant d'autonomie en pur électrique -de l'ordre de 2 km bouh c'est nul- notamment) mais il n'empêche que c'est une optimisation très intéressante et très efficace. Il suffit de voir la dernière Yaris HSD pour se rendre compte que le système est parfaitement au point et abouti.D'ailleurs ça ouvre la voie aux hybrides plugin qui, avec l'évolution des capacité des batteries, évolueront vers du full électrique en douceur. On commencera par 15km en électrique et au fil des générations ou des gammes, vers plus.L'hybride se montre au final une approche très rationnelle et très pertinente, d'ailleurs Renault qui avait jugé bon de partir direct du l'électrique pur revient sur l'hybride et annonce des développements dans ce sens.Pour moi (vivant en pavillon) l'idéal serait soit une électrique + une hybride, soit une hybride plugin s'il fallait en rester à un seul véhicule."
725,725,
726,726,
727,727,Non !ZOE un un moteur en partie différent de Kangoo ZE et Fluence ZE
728,728,"Il semble pourtant que les caractéristiques soient identique. Donc, comment ferait il mieux avec des caractéristiques identique ?"
729,729,"Y'a peut-être des voitures différentes autour des moteurs, surtout en poids"
730,730,Et peut être que les deux seuls chiffres donnés au public - puissance maxi et couple maxi - ne suffisent pas à caractériser une chaine de traction.
731,731,"En fait il y a le GMP 5a Gen1 pour Fluence,Kangoo... et le 5A Gen 2 de ZOE"
732,732,"Oui enfin ça reste quand même le même moteur, au chargeur caméléon et 2 - 3 babioles près... http://www.renault.com/fr/inno [...] ue-5a.aspx"
733,733,Les premières commandes commencent à arriver.http://www.media.renault.com/g [...] iaid=41751http://www.michel-edouard-lecl [...] la-zoe.php
734,734,
735,735,
736,736,"Pas en 2 ou 3 ans. Surtout qu'il y a trop de techno différentes et aucunes qui n'a encore tiré son épingle du jeu. Les constructeurs se cherchent encore. Alors oui, ca va baisser, mais pas de 70% en 2 ou 3 ans (du moins le vrai prix, parcequ'actuellement ils abusent clairement des bonus écolo)Ca baissera réellement quand une ou deux techno se seront imposées et seront généralisées."
737,737,
738,738,J'en ai vu une noire sur la route et j'ai bien aime'.
739,739,"Lu dans l'AJ, les livraisons aux particuliers seraient repoussées en juin"
740,740,Cela va tourner à la blague si cela continue
741,741,
742,742,"Geneve 2012, puis repousée au mondial, pour être finalement commercialisée en Février-Mars 2013, avec des premières livraisons prévues en juin-juillet.C'est vrai que ça commence à faire long "
743,743,
744,744,
745,745,
746,746,
747,747,
748,748,Il faut arrêter de rêver avec un format de batterie standardisé permettant des échanges. Les véhicules sont trop différents pour le permettre. Si déjà un seul constructeur y arrivait dans sa seule gamme ce serait le bout du monde.
749,749,
750,750,"Ce qui me fait penser que les VE ne pas développer aussi vite que vous sembler le penser, d'abord les compagnies pétrolière qui font pour que l'électrique ne se développe pas trop vite. Ensuite l'autonomie n' est pas le plus gros problème, ce qui est quasiment impossible pour un citadin qui gare sa voiture dans la rue, c'est la recharge de la batterie la nuit, la plupart des citadins n'ont pas de garages. Et même à la campagne les maison ou le garage est fonctionnel sont pas la majorité. Même l'hybride rechargeable se retrouve confrontée à ce problème."
751,751,"On va pas relancer le débat, mais il est clair qu'une voiture électrique ne convient pas à tout le monde, comme une twingo ne convient pas à tout le monde, un 4x4, un pick-up, un Kangoo, une moto, un quad, un char à voile..."
752,752,"On ne l'a pas dit clairement aux gens qui ont commandé une Renault Zoe : ils ne pourront pas aller à l'étranger au volant de leur auto. Ceux qui voudront franchir une frontière de l'hexagone devront acheter un câble supplémentaire, et ils ne vont pas rire quand ils découvriront à quel prix Renault le leur vendra.voir ici :http://www.moteurnature.com/ac [...] s_id=26808"
753,753,"Super moi qu'il voulait partir en vacances avec une Zoe pour faire le tour des grandes capitales européennes, je suis dégouté. "
754,754,Tu sais les frontaliers peuvent se poser la question ...Adieu marché de Vintimille !
755,755,Reprise du message précédent :Tu sais les frontaliers peuvent se poser la question ...Adieu marché de Vintimille !
756,756,Soyons sérieux. La Zoe a un rayon d'action de 140 kms + ou - 30 kms. Point barre. N'allons lui trouver des défauts sur des aptitudes qu'elle n'a pas.
757,757,
758,758,
759,759,
760,760,
761,761,
762,762,
763,763,ACEA ==> standardisationhttp://www.avem.fr/actualite-p​rise-type-2-avec-obturateur-la​-solution-pour-un-standard-eur​opeen-3659.html
764,764,
765,765,
766,766,"Le câble standard est compris dans le prix de la voiture, donc personne n'en connait le prix, et pendant la charge il est verrouillé sur la prise."
767,767,"Pour moi le problème c'est plutôt que choisir entre :- dépenser une certaine somme dans l'achat d'une wallbox, pouvoir utiliser le cable fourni d'office, mais se retrouver dans l'impossibilité de charger chez des amis, ou dans un parking Vinci, sur une simple prise...- dépenser une somme a peu près équivalente pour l'achat du câble qui va sur toutes les prises, mais recharger moins vite...Je penche plutôt pour la 2e solution...Autre chose :- j'ai croisé une ZOE près de Versailles.- un ami a rencontré un responsable ZE de chez Renault la semaine dernière qui lui a dit qu'il n'y aurait pas de retard sur ZOE, donc les livraisons de Janvier - Février auront lieu comme prévu."
768,768,"Moi aussi je choisis la seconde solution...pas de wallbox pour le moment, quand les batteries des VE feront plus de 35kWh j'y réfléchirai pour m'équiper avec une entre 5 et 11Kw.Et les infos qui tournent de sources internes officieuses confirment aussi les premières livraison pour le mois de février...j'ai hâte d'avoir la mienne..."
769,769,C'est toujours fin fevrier-mars l'ouverture des commandes?
770,770,Certains sur les forums dédiés parlent de la possibilité de commander dès le 11 janvier (mais je connais pas la procédure).Les commandes en concessions seront a priori possible début mars.
771,771,
772,772,"Si on compte le retour, on est effectivement à 70 + au - 15"
773,773,"Non, les 75% c'est parce que Mr Renault dans son contrat de location de batterie te change la batterie quand la capacité de celle ci passe sous les 75% du neuf.Donc ne pas tenir compte de ces 75% et calculer trop juste son autonomie et son rayon d'action c'est risquer avec le temps de ne pas pouvoir effectuer le trajet pour lequel on a choisit la voiture..."
774,774,"Les essais de Mars par les magazines auto vont nous renseigner sur l'autonomie.De plus, il faut avant d'acheter vérifier que cela peut convenir. Si on joue avec la limite d'autonomie tous les jours, c'est le piège à con assurer à moyen terme."
775,775,"Il faudrait avoir l'autonomie ""minimum"".C'est évident que par -5° (les batteries sont moins performantes avec le froid), la radio, les phares, le chauffage..., ça risque d'être vraiment limite pour les déplacements.Par contre si les bornes de recharges se développent ça pourrait attirer pas mal de clients, rassurés d'avoir des points de recharges rapides ""au cas ou..."""
776,776,"Par exemple, moi je fais 30 kms par jour. Une moyenne plus que banale. Je pense que même par -30 elle me raménerait à la maison.   "
777,777,"Oui, elle est bien comme 2ème voiture du foyer.Par contre elle te reviendras plus chère que ta vieille Clio Dci pour aller bosser.   "
778,778,"Tant qu'elle me fait de blague, c'est clair. je touche du bois rien depuis 7 ans"
779,779,http://www.renault.fr/gamme-re [...] s/zoe/zoe/
780,780,
781,781,"Toujours sur le site.Comment augmenter l'autonomieZOE vous offre un large champ d’actions pour maximiser votre rayon d’action :- Le préconditionnementIl permet de programmer le chauffage ou la climatisation lorsque ZOE est encore en charge. Ainsi, l’énergie utilisée pour le confort thermique n’est pas puisée dans la batterie.- Le Mode « Eco »Un bouton « Eco » permet de diminuer les performances dynamiques et la puissance de la climatisation ou du chauffage pour gagner en autonomie.- Le Menu Eco-conduiteIl invite le conducteur à adopter une conduite éco-responsable qui aide à gagner jusqu’à plusieurs dizaines de kilomètres.Pour le premier c'est pas con."
782,782,
783,783,La NEDC étant évidement une grosse blague.
784,784,"Message plaquette distribuée en octobre 2012 :L’autonomie homologuée du véhicule en cycle mixte NEDC* est de 210 km. Comme la consommation de carburant d’un véhicule thermique, en usage réel, l’autonomie de Renault ZOE est influencée par plusieurs variables qui elles-mêmes dépendent en partie du conducteur. Le dénivelé des routes empruntées, la vitesse, l’utilisation du chauffage et de la climatisation ainsi que le style de conduite adopté en sont lesprincipales. Ainsi, par exemple, sur un parcours péri-urbain, vous pourrez réaliser généralement autour de 100 km en saison froide et de 150 km en saison tempérée. C’est pour cette raison que nous vous donnons les moyens de contrôler votre autonomie grâce à la nouvelle instrumentation de bord, et notamment l’économètre, qui vous donne votre consommation d’énergie instantanée. Pour optimiser votre rayon d’action, maximisez la récupération d’énergie produite par la décélération et utilisez le mode « eco » de la climatisation. Pour profiter d’un confort thermique optimal sans puiser dans les ressources de votre batterie, programmez le chauffage ou la climatisation de votre véhicule lorsqu’il est encore en charge : c’est le préconditionnement. Autant d’éléments de série sur Renault ZOE qui sont à votre main. Sans oublier les bonnes pratiques de l’éco-conduite électrique Z.E. Driving eco2 qui permettent de gagner jusqu’à plusieurs dizaines de kilomètres"
785,785,"100km en saison froide, echange de batterie quand celle-ci passe sous les 75% de sa capacité=> autonomie a prendre en compte pour un achat : 75km."
786,786,Ce qui pour une deuxième voiture est largement suffisant pour 70-80 % des mortels.
787,787,
788,788,Ha ?
789,789,Il est possible de commander la voiture dans n'importe quelle concession depuis aujourd'hui.
790,790,
791,791,Reprise du message précédent :
792,792,J'ai déjà passé commande depuis Septembre 2012.
793,793,Tu as une date de livraison 
794,794,Au plus tard le 25 février 2013.
795,795,J'espère qu'il vont respecter les premiers acheteurs particuliers.
796,796,
797,797,Toi tu as pas lu les messages d'après Remonte de 3 messages
798,798,
799,799,
800,800,"Allez, Je vais essayer de me trouver une excuse à 2 balles :Sans avatar, le message d'Olakeen était moins visible que les autres."
801,801,
802,802,"Dans l'émission Turbo, on nous annonce que la France est en tête, en Europe, pour la vente de véhicules électriques : 9 300 unités en 2012.Cela reste encore très marginal et le serait encore plus si on déduisait les flottes pour la location, pour les entreprises ou pour les administrations."
803,803,
804,804,
805,805,
806,806,"Si l'info se confirme, la Zoé est un projet mort-né :Renault ZOE : le câble de recharge occasionnelle annulé ?http://www.automobile-propre.c [...] el-annule/"
807,807,"Ne pas rire, surtout ne pas rire, c'est trop grave.. mais bon... difficile de se retenir   "
808,808,
809,809,Bizarre.
810,810,"Bizarre vous avez dit bizarre   Enfin peu importe les raisons, bonnes ou mauvaises, la disparition de ce câble de la liste des accessoires fait sacrément tache, surtout après les multiples report de commercialisation, le télescopage avec la Clio IV, les dattes incertaines des premières livraisons, et la com de Renault inexistante.On voudrait foirer le lancement de cette voiture, qui pourtant avait tout pour réussir une percée significative sur le marché du VE, qu'on s'y prendrait pas autrement.Ceci dit c'est pas encore mort, mais il va falloir que Renault se ressaisissent très sérieusement si ils ne veulent pas que Zoè aille rejoindre l'Avantime au cimetière des occasions manquées.Il se dit qu'il y aurait bien un CRO de disponible, mais on ne sait pas quand, ni dans quelles conditions. "
811,811,"Pour avoir la c zero depuis le mois d aout, c est une voiture sympa mais pour de courts trajets!Je n ai qu une hate c est de la rendre et repartir sur un monospace ou un suv.Le manque de place est contraignant avec 2 enfants et surtout ne pas oublier de recharger le soir sous peine de rester cloitrer a la maison...Actuellement il est difficile de faire plus de 90 kms avec le chauffage.Seul avantage: le silence et l absence d accoup grace a la boite auto.Bref bilan mitigé pour ma part ,seul les 2000 m'ont rendu enthousiaste.Pour le moment les seul vehicules qui pourraient me satisfaire sontLa prius+Lexus rx 400hOu reprendre un corolla verso essence comme j'avais juste avant la c zero.C est sur une zoé pour la ville et une hybride pour le reste c est tentant , mais le budget alloué pour 2 voitures est trop elevé.dommage...."
812,812,
813,813,"Anecdote d aujourd'hui:J'avais pas mal de rdv aujourd'hui, du coup je n'avais meme pas assez de batterie pour aller faire les courses (le supermarché est a 10 kms de chez moi)Du coup obligé de rentrer a la maison pour recuperer la vieille 406 diesel....et au moins j ai pu mettre le chauffage a fond !"
814,814,
815,815,
816,816,"Bonjour à toute et à tous , je poste ce message au sujet d'une Renault et en plus sur la ZOE moi qui suit ""pro Allemande"" je n'y crois pas mais je le fais !   Je suis très intéressé par cette ZOE moi qui fait moins de 15 km par jour pour aller au boulot.J'habite actuellement dans un appartement et je possède également une place de parking (souterrain) mais il n'y a qu'une seule prise qui se trouve dans le local à poubelle à 10m de ma place! Me posant cette question mais comment faire pour recharger ma future ZOE ?!J'ai donc envoyé un mail chez Renault pour savoir et comprendre comment faire pour avoir cette structure qui pourrait recharger la voiture .Renault me répond et voici le mail .Bonjour M.Nous vous remercions de l’intérêt que vous portez à notre futur modèle électrique Renault Zoé.Nous vous informons que votre conseiller commercial Renault vous mettra en relation avec un installateur agréé comme EDF, Veolia ou Schneider Electric lors de la commande du véhicule. Cet installateur vous fera un devis d'installation et vous proposera un rendez-vous à domicile.Merci de nous avoir contactés.Nous vous souhaitons une agréable journée.Ce mail aidera peut-être certaine personnes qui se posait la même question que moi et qui habite également dans un appartement.Ceci étant je crois qu'il est tant que je franchisse le pas et que c'est le bon moment .Je remercie donc Renault d'apporter ce modèle à l'heure ou l'essence devient hors de prix !"
817,817,"attention, l'électrique n'est pas pour être moins onéreux que l'essence.Surtout avec un faible kilométrage => location de batterie par mois"
818,818,
819,819,
820,820,
821,821,"@VWAUDIGROU​P si tu n'as que 15km a faire par jour je te conseille plutôt un Twizy (perso je prendrais un velo)Après bien évidement cela dépend si tu envisages d'autres utilisations qui ne sont pas compatible avec le Twizy. Mais si tu n'as pas besoin de volume, n'envisage pas des parcours de plus 60 à 100km maxi , ni d'emprunter des autoroutes, le Twizy te conviendra parfaitement, il faut juste accepter de bien se couvrir en hivers, et encore d’après les témoignages des utilisateurs, on est bien protégé. Le prix du KM en Twizy est environ deux fois inférieur qu'en Zoé (batterie + électricité) pas besoin d'installation particulière pour charger ni de CRO, n'importe qu'elle prise fait l'affaire pour charger en 3 ou 4 heures (juste vérifier que l'installation soit correct)Il y a aussi dans le genre la MIA et la Smart qui sont entre le Twizy et la Zoé, mais avec un tarif proche de la Zoé."
822,822,
823,823,"Il y a aussi la IOn et Czero, mais sans promo elles sont hors de prix, enfin beaucoup moins bien placées que les autres modèles.La leaf vient de voir sont prix baisser, pour l'instant seulement aux USA, mais si on traduit sont prix en euros et prime déduite on a une leaf pour 14000€ batterie comprise. Mais bon une voiture est toujours plus chère en Europe.Forte baisse de prix pour la Nissan LEAF aux USA"
824,824,"Oui, mais attention, aux US les prix sont souvent hors taxes... faut compter entre 7 et 10% de plus..."
825,825,
826,826,"En fait, si on fait le rapport avec les prix US la version de base est 20% de moins, que la version actuel, qui en France coute 30 000€, donc 30 000 - 6000 = 24000 - 7000 = 17000€ pour le premier prix (nouvelle version de base moins bien équipé que l'actuelle, mais avec une autonomie légèrement accrue)"
827,827,"Reprise du message précédent :En fait, si on fait le rapport avec les prix US la version de base est 20% de moins, que la version actuel, qui en France coute 30 000€, donc 30 000 - 6000 = 24000 - 7000 = 17000€ pour le premier prix (nouvelle version de base moins bien équipé que l'actuelle, mais avec une autonomie légèrement accrue)"
828,828,
829,829,"Si cette grosse farce continue, je vais finir par me laisser tenter par une smart ed. Rigueur allemande, fabrication française!"
830,830,"Et avec la smart, tu peux acheter la batterie (4770e), et ne pas te limiter en kilomètrage et ne plus avoir de location comme avec les Renault ZE."
831,831,
832,832,
833,833,
834,834,
835,835,
836,836,"Il ne faut pas oublier non plus l'abonnement EDF en conséquence.Par exemple pour passer d'une abonnement HP/HC de 6KW à 24KW (pour une charge rapide?), ça passe de 90.52 euros à 438.17 euros à l'année."
837,837,
838,838,"Oui, mais un 12kVA coutera quand même 70€/ans de plus que le 6kVA, à rajouter au prix de la location de la batterie, etc etc..."
839,839,
840,840,
841,841,"Le problème ne viendrait pas du câble mais du chargeur caméléon en lui même.Ce module permettant de faire des charges de 3kW à 43kW par la même prise aurait un rendement catastrophique sous 3kW, ce qui allongerait le temps de charge d'au moins 6h en dessous de 3kW.Et là, pomper 8A-10A pendant plus de 12h non stop ne serait pas vraiment économique ni très recommandé sur une prise domestique."
842,842,
843,843,"Ha ben merde alors !Le fameux chargeur caméléon de la Zoé que l'on nous 'vends' depuis des mois comme étant révolutionnaire car intégré a la voiture et s'adaptant tout seul à toute les puissances, permettant ainsi de conséquentes économies sur les infrastructures de charge ne permettrait pas de charger la voiture sur une bête prise domestique ?Mais a quoi on servit les milliards soit disant investit dans l'électrique chez Renault ??? Renault, le leader mondial (autoproclamé) de la voiture électrique ? que même les chinois viennent espionner ???Misère de misère   "
844,844,
845,845,
846,846,
847,847,"On vit dans un monde de communication.Hors, après avoir communiqué pendant des mois, voir des années sur le fait que c’était les champions du monde la voiture électrique, sur des milliards d’investissements en R&amp;D, annoncé un chargeur Caméléon révolutionnaire et économique, etc etc..Lire ça : ""Renault a fait beaucoup d’essai de roulage ces derniers mois et qu’il y a quelque chose qui ne leur convient pas dans le câble de recharge occasionnelle""Me fait littéralement halluciner !!!Pas besoin d'avoir une voiture qui roule et d'attendre les essais routiers pour tester et valider un système de charge et un pauvre câble !Je suis consterné en fait   "
848,848,Surtout que la voiture a beaucoup de retard par rapport aux premières annonces...
849,849,
850,850,
851,851,
852,852,
853,853,
854,854,
855,855,
856,856,
857,857,
858,858,
859,859,
860,860,
861,861,
862,862,Comme cela la leaf rentre un peu dans le rang est devient plus classe.http://www.technologicvehicles [...] ebut-de-la
863,863,Reprise du message précédent :Comme cela la leaf rentre un peu dans le rang est devient plus classe.http://www.technologicvehicles [...] ebut-de-la
864,864,
865,865,"Je pense que les annonces anticipées de la sortie prochaine d'un modèle ne sont pas toujours innocentes. Elles servent à faire patienter de futurs clients qui sans cela seraient allés vers d'autres marques dont le produit est déjà en vente.Pour illustrer mon propos, je me souviens, il y a 9 ans, Peugeot nous promettait déjà la sortie prochaine d'un milieu de gamme hybride (diesel électrique) que j'ai bien fait de ne pas attendre car c'est un modèle haut de gamme qui a finalement été commercialisé... sept ans plus tard."
866,866,"tiens, j'ai vu passer au taf, peut être la solution à l'électrique.C'est un petit groupe électrogène qu'on tracte et qu'on peut louer pour un trajet par exemple, et qui permet une autonomie de 600kms sur une Zoé !j'essaie de retrouver le nom   "
867,867,EP-Tender : le « range-extender » sous forme de remorquehttp://www.automobile-propre.c​om/breves/ep-tender-le-range-e​xtender-sous-forme-de-remorque​/
868,868,"des moteurs thermiques tout pourris pour les voitures électriques, super idée "
869,869,
870,870,"A ce moment là, autant coller un groupe électrogène (il y en a avec de tres bon rendement : régime constant) directement dans le coffre (en prenant soin de sortir l'échappement...) et basta   Elle est homologuée pour tracter Zoé ?????"
871,871,"Sauf que ca te bouffe de la place, alors que c'est justement quand tu parts en vacances que tu risques d'en avoir besoin, et qu'il faut pouvoir sortir l’échappement. Une remorque bien pensée, ca peut comporter un groupe électrogène avec un moteur adapté une batterie supplémentaire qui peut donner a elle toute seule une centaine de Km et de la place en plus pour les bagages.Par contre les VE et les hybrides ne sont effectivement pas homologué pour tracter, mais y a pas de raisons que ca puisse pas se faire."
872,872,
873,873,
874,874,
875,875,
876,876,
